cname,ccodealp,ccode,year,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wbgi_rqe,wbgi_vae,vdem_corr,ti_cpi,icrg_qog,fh_status,fh_pr,fh_cl,p_polity2,vdem_polyarchy,wdi_trade,wdi_taxrev,pwt_pop,mad_gdppc,wdi_lifexp,wdi_pop,wdi_fertility,wdi_expedu,wdi_gini,wdi_empagr,wdi_internet,wdi_mobile,wdi_co2,wdi_forest,wdi_migration,vdem_libdem,vdem_partip,vdem_delibdem,vdem_egal,br_pvote,ucdp_type4
Afghanistan,AFG,4.0,2020,-1.4933609,-1.6115395,-2.702721,-1.8314067,-1.389163,-1.0782669,0.866,19.0,,3.0,5.0,6.0,,0.361,46.70989455141026,,,1928.4546828441275,62.575,38972230.0,4.75,,,45.9834078243144,18.4,58.1902139,0.1403229940909206,1.8527819940818424,166821.0,0.191,0.265,0.291,0.429,0.0,3.0
Albania,ALB,8.0,2020,-0.5735388,-0.15512122,0.08861252,-0.3780282,0.22196724,0.086325444,0.685,36.0,0.4722222222222222,2.0,3.0,3.0,,0.536,59.82972943216276,16.98325683284791,,11372.54142130636,76.989,2837849.0,1.4,3.3422999382019,29.4,36.190744246996,72.2377,91.35050062,1.5162187981108228,28.791970802919707,-9117.0,0.447,0.555,0.28,0.708,1.0,
Algeria,DZA,12.0,2020,-0.66682696,-0.5736432,-0.8478204,-0.7980276,-1.3553003,-1.0885086,0.684,36.0,0.4444444444444444,3.0,6.0,5.0,,0.279,40.389756562538814,,,13086.292801166825,74.453,43451666.0,2.942,6.1939172744751,,10.0237908954664,60.6534,104.842178,3.857946436392105,0.818308959706366,-18797.0,0.149,0.247,0.196,0.702,1.0,0.0
Andorra,AND,20.0,2020,1.2654539,1.7492414,1.5886754,1.6151816,1.3354213,1.0853353,,,,1.0,1.0,1.0,,,,,,,,77700.0,,2.63213038444519,,,93.2056,103.4491634,,34.04255319148936,1474.0,,,,,,
Angola,AGO,24.0,2020,-0.9350612,-1.2574846,-0.5999179,-0.9510588,-0.8568535,-0.81600595,0.569,27.0,0.3958333333333333,3.0,6.0,5.0,,0.354,65.94202893046355,,,6279.929084992991,62.261,33428486.0,5.371,2.6674473285675,,55.1641528611982,36.6347,43.81009059,0.6198007292343423,53.42695115103875,7557.0,0.182,0.15,0.185,0.276,1.0,0.0
Antigua and Barbuda,ATG,28.0,2020,0.23903853,-0.20479481,0.92957884,0.40738115,0.49769372,0.7415948,,,,1.0,2.0,2.0,,,94.34572017379206,,,,78.841,92664.0,1.569,2.99340319633484,,,86.8837,198.5668652,2.987136320469653,18.454545454545453,0.0,,,,,0.0,
Azerbaijan,AZE,31.0,2020,-1.0780759,-0.1552637,-0.8522538,-0.72964275,-0.33604014,-1.540866,0.939,30.0,0.3611111111111111,3.0,7.0,6.0,,0.193,72.0178676487811,15.185572507409258,,16189.511046633794,66.868,10093121.0,1.7,4.33204984664917,,36.312788977015,84.6,100.577047,3.4825699602729423,13.694189676451373,1084.0,0.065,0.142,0.042,0.359,0.0,1.0
Argentina,ARG,32.0,2020,-0.16357006,-0.25426182,-0.071997404,-0.48626596,-0.49834427,0.5845012,0.471,42.0,0.5,1.0,2.0,2.0,,0.812,30.20369880741596,8.038630554148707,,15975.838772553549,75.892,45376763.0,1.911,5.27689981460571,42.7,7.28575178937575,85.5144,121.6001889,3.614762031394791,10.440714878192267,2344.0,0.654,0.616,0.659,0.75,1.0,
Australia,AUS,36.0,2020,1.6329806,1.5733533,0.8621619,1.6150036,1.813947,1.2989849,0.031,77.0,0.8888888888888888,1.0,1.0,1.0,,0.841,44.14304559412032,22.55751542629792,,48268.94507651192,83.2,25649248.0,1.581,5.37828016281128,,2.76599346095224,94.6935,105.231579,15.492485393723824,17.42131455716444,117929.0,0.795,0.671,0.762,0.83,0.0,2.0
Austria,AUT,40.0,2020,1.4777094,1.6058632,0.8876009,1.7706089,1.3952273,1.3946289,0.09,76.0,0.9166666666666666,1.0,1.0,1.0,,0.859,99.70829517911883,24.43074542085103,,40503.0408055729,81.19268292682928,8916864.0,1.44,5.57126998901367,29.8,3.86384318578917,87.5294,120.3155961,7.023758577006445,47.25096946194861,20314.0,0.789,0.683,0.734,0.903,1.0,2.0
